Cards Suited Num pla. Prob
2 12 0 3 0.28025
2 12 1 3 0.33045
2 12 0 4 0.1961
2 12 1 4 0.2323
2 12 0 5 0.15295
2 12 1 5 0.19325
2 12 0 6 0.1272
2 12 1 6 0.16495
2 12 0 7 0.1053
2 12 1 7 0.15545
2 12 0 8 0.09435
2 12 1 8 0.1333
2 12 0 9 0.08145
2 12 1 9 0.12445
2 12 0 10 0.0674
2 12 1 10 0.1108
2 13 0 2 0.5035
2 13 1 2 0.5334
2 13 0 3 0.31215
2 13 1 3 0.3539
2 13 0 4 0.2237
2 13 1 4 0.2634
2 13 0 5 0.16425
2 13 1 5 0.2168
2 13 0 6 0.133
2 13 1 6 0.18245
2 13 0 7 0.11285
2 13 1 7 0.159
2 13 0 8 0.1086
2 13 1 8 0.15135
2 13 0 9 0.0892
2 13 1 9 0.13345
2 13 0 10 0.08055
2 13 1 10 0.12885
2 14 0 2 0.55045
2 14 1 2 0.57305
2 14 0 3 0.358
2 14 1 3 0.4041
2 14 0 4 0.2636
2 14 1 4 0.29945
2 14 0 5 0.19455
2 14 1 5 0.24095
2 14 0 6 0.1532
2 14 1 6 0.2043
2 14 0 7 0.1343
2 14 1 7 0.1784
2 14 0 8 0.1209
2 14 1 8 0.1623
2 14 0 9 0.10775
2 14 1 9 0.14825
2 14 0 10 0.09875
2 14 1 10 0.1379
3 3 0 2 0.53145
3 3 0 3 0.3406
3 3 0 4 0.24495
3 3 0 5 0.199
3 3 0 6 0.14955
3 3 0 7 0.1389
3 3 0 8 0.13515
3 3 0 9 0.1263
3 3 0 10 0.12155
3 4 0 2 0.3443
3 4 1 2 0.3788
3 4 0 3 0.23675
3 4 1 3 0.2687
3 4 0 4 0.17105
3 4 1 4 0.2131
3 4 0 5 0.13135
3 4 1 5 0.16765
3 4 0 6 0.10985
3 4 1 6 0.1456
3 4 0 7 0.0856
3 4 1 7 0.13115
3 4 0 8 0.08185
3 4 1 8 0.1231
3 4 0 9 0.07365
3 4 1 9 0.11755
3 4 0 10 0.0743
3 4 1 10 0.1114
3 5 0 2 0.359
3 5 1 2 0.3902
3 5 0 3 0.2387
3 5 1 3 0.2843
3 5 0 4 0.1807
3 5 1 4 0.2269
3 5 0 5 0.14185
3 5 1 5 0.1858
3 5 0 6 0.11475
3 5 1 6 0.1554
3 5 0 7 0.09885
3 5 1 7 0.13565
3 5 0 8 0.08955
3 5 1 8 0.1268
3 5 0 9 0.0806
3 5 1 9 0.1238
3 5 0 10 0.0806
3 5 1 10 0.118
3 6 0 2 0.3472
3 6 1 2 0.38835
3 6 0 3 0.22965
3 6 1 3 0.27165
3 6 0 4 0.1719
3 6 1 4 0.2106
3 6 0 5 0.1378
3 6 1 5 0.17835
3 6 0 6 0.1089
3 6 1 6 0.1478
3 6 0 7 0.0863
3 6 1 7 0.13335
3 6 0 8 0.07725
3 6 1 8 0.1192
3 6 0 9 0.06975
3 6 1 9 0.10925
3 6 0 10 0.0647
3 6 1 10 0.10285
3 7 0 2 0.3627
3 7 1 2 0.3955
3 7 0 3 0.2258
3 7 1 3 0.25905
3 7 0 4 0.1722
3 7 1 4 0.2106
3 7 0 5 0.1327
3 7 1 5 0.1704
3 7 0 6 0.1028
3 7 1 6 0.1425
3 7 0 7 0.08105
3 7 1 7 0.12055
3 7 0 8 0.0751
3 7 1 8 0.1123
3 7 0 9 0.0617
3 7 1 9 0.10475
3 7 0 10 0.0607
3 7 1 10 0.101
3 8 0 2 0.36215
3 8 1 2 0.40485
3 8 0 3 0.2227
3 8 1 3 0.26025
3 8 0 4 0.15875
3 8 1 4 0.20155
3 8 0 5 0.12875
3 8 1 5 0.1713
3 8 0 6 0.0946
3 8 1 6 0.1374
3 8 0 7 0.0793
3 8 1 7 0.1222
3 8 0 8 0.06585
3 8 1 8 0.1064
3 8 0 9 0.0579
3 8 1 9 0.10155
3 8 0 10 0.05135
3 8 1 10 0.0932
3 9 0 2 0.3982
3 9 1 2 0.43085
3 9 0 3 0.23865
3 9 1 3 0.27995
3 9 0 4 0.16505
3 9 1 4 0.21325
3 9 0 5 0.13005
3 9 1 5 0.1708
3 9 0 6 0.1052
3 9 1 6 0.14715
3 9 0 7 0.09025
3 9 1 7 0.1326
3 9 0 8 0.07045
3 9 1 8 0.1124
3 9 0 9 0.0625
3 9 1 9 0.10465
3 9 0 10 0.05555
3 9 1 10 0.0995
3 10 0 2 0.43745
3 10 1 2 0.4602
3 10 0 3 0.2495
3 10 1 3 0.29125
3 10 0 4 0.1807
3 10 1 4 0.21745
3 10 0 5 0.14015
3 10 1 5 0.1843
3 10 0 6 0.1051
3 10 1 6 0.1504
3 10 0 7 0.0908
3 10 1 7 0.1341
3 10 0 8 0.07715
3 10 1 8 0.1202
3 10 0 9 0.07155
3 10 1 9 0.10735
3 10 0 10 0.05805
3 10 1 10 0.101
3 11 0 2 0.44425
